catalog_version,id,category,artist,title,album,selected,source_type,source,rights_confirmed,status,notes
original-50-v1,22,03_90年代至千禧經典,任賢齊,傷心太平洋,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,23,03_90年代至千禧經典,任賢齊,對面的女孩看過來,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,24,03_90年代至千禧經典,任賢齊,天涯,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,25,03_90年代至千禧經典,任賢齊,任逍遙,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,26,03_90年代至千禧經典,動力火車,無情的情書,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,27,03_90年代至千禧經典,動力火車,當,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,28,03_90年代至千禧經典,動力火車,背叛情歌,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,29,03_90年代至千禧經典,動力火車,忠孝東路走九遍,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,30,03_90年代至千禧經典,動力火車,除了愛你還能愛誰,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,31,04_周杰倫與蔡依林,周杰倫,晴天,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,32,04_周杰倫與蔡依林,周杰倫,七里香,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,33,04_周杰倫與蔡依林,周杰倫,青花瓷,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,34,04_周杰倫與蔡依林,周杰倫,稻香,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,35,04_周杰倫與蔡依林,周杰倫,夜曲,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,36,04_周杰倫與蔡依林,蔡依林,倒帶,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,37,04_周杰倫與蔡依林,蔡依林,說愛你,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,38,04_周杰倫與蔡依林,蔡依林,日不落,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,39,04_周杰倫與蔡依林,蔡依林,舞孃,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,40,04_周杰倫與蔡依林,蔡依林,看我72變,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,41,05_滄桑實力派,蕭煌奇,你是我的眼,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,42,05_滄桑實力派,蕭煌奇,末班車,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,43,05_滄桑實力派,蕭煌奇,阿嬤的話,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,44,05_滄桑實力派,蕭煌奇,上水的花,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,45,05_滄桑實力派,蕭煌奇,好好先生,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,46,05_滄桑實力派,刀郎,2002年的第一場雪,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,47,05_滄桑實力派,刀郎,衝動的懲罰,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,48,05_滄桑實力派,刀郎,西海情歌,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,49,05_滄桑實力派,刀郎,情人,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
original-50-v1,50,05_滄桑實力派,刀郎,披著羊皮的狼,,yes,,,,NEEDS_LEGAL_SOURCE,提供購買檔案或自有 CD 備份
